location_group,location_type,location_code,location,latitude,longitude
Mobil,Otobus 4G,IETT-M2274,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3073,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1776,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O3260,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O2132,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1542,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2123,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,METRO-M5-16-Cekmekoy,ÇEKMEKÖY,41.0146700000,29.1895700000
Hizmet Binasi,Bina,ISKI-BAGCILAR,BAĞCILAR,41.0384600000,28.8413500000
Mobil,Otobus 4G,IETT-O2070,IETT Otobus,0.0000000000,0.0000000000
Mobil,Ulasim A.S.,IETT-C1775,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3220,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Ulasim A.S.,IETT-B1521,IETT Otobus,0.0000000000,0.0000000000
Mobil,Ulasim A.S.,IETT-B1838,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,IGDAS_Esenyurt,ESENYURT,41.0204200000,28.4051000000
Mobil,Otobus 3G,IETT-YTU-AKILLIDURAK,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M3246,IETT Metrobus,0.0000000000,0.0000000000
Tramvay Istasyonu,Istasyon,IETT-Kadikoy Moda Nostaljik Tramvay-B208,NOSTALJİK TRAMVAY,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5277,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M2519,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5274,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-K1679,IETT Otobus,0.0000000000,0.0000000000
Mobil,Metrobus,Metrobus-M4892,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5038,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-T1016,IETT Otobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,001-Kemerburgaz Sahipsiz Hayvan Gecici Bakim Evi,EYÜPSULTAN,41.1376400000,28.9389700000
Mobil,Metrobus,Metrobus-M3159,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-K1013,IETT Otobus,0.0000000000,0.0000000000
Metrobus Duragi,Metrobus Duragi,069-Sefakoy Metrobus Duragi,BAKIRKÖY,40.9987700000,28.7988400000
Sosyal Tesis,Sosyal,024-Cirpici 1453 Sosyal Tesisleri,ZEYTİNBURNU,41.0003400000,28.8914600000
Mobil,Metrobus,Metrobus-M4871,IETT Metrobus,0.0000000000,0.0000000000
Diger,Arge,066-Pendik Dolayoba IBB Teknoloji Atolyesi,PENDİK,40.8876700000,29.2428600000
Mobil,Otobus 4G,IETT-M2035,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3107,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-B5124,IETT Otobus,0.0000000000,0.0000000000
Diger,Garaj,IETT Garaj-Hasanpasa-In,KADIKÖY,40.9949800000,29.0423500000
Hizmet Binasi,Bina,METRO-M6-02-Nispetiye ,BEŞİKTAŞ,41.0776900000,29.0241000000
Koyler,Koy,070-Cekmekoy Huseyinli Koyu Meydan,ÇEKMEKÖY,41.1193000000,29.2927400000
Mobil,Metrobus,Metrobus-M4743,IETT Metrobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,ISKI-Sultanbeyli,SULTANBEYLİ,40.9744300000,29.2567700000
Mobil,Metrobus,Metrobus-M4884,IETT Metrobus,0.0000000000,0.0000000000
Hizmet Binasi,Bina,001-Istanbul Planlama Ajansi Ambar,BAKIRKÖY,40.9759100000,28.7863400000
Mobil,Otobus 4G,IETT-O1091,IETT Otobus,0.0000000000,0.0000000000
Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Belediye Metrobus Duragi,BEYLİKDÜZÜ,41.0125300000,28.6494200000
Mobil,Metrobus,Metrobus-M3201,IETT Metrobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-O1102,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 4G,IETT-M4504,IETT Otobus,0.0000000000,0.0000000000
Mobil,Otobus 3G,IETT-O3148,IETT Otobus,0.0000000000,0.0000000000
